,ID,Name,FoodPreference,Age,Sex,Kitchen,Kitchen_Story,Kitchen_Longitude,Kitchen_Latitude,,,,
1,0a650485-7b55-4016-909e-3b1e47cf62b4,Person1,veggie,30,female,yes,8,50.818997, 8.753716,,,,
2,ef75979d-0d12-42b1-8483-d133b3b3ca38,Person2,none,31,female,no,6,50.804146, 8.790458,,,,
3,05133ce1-e76b-470c-b433-c48f06c86992,Person3,none,30,male,yes,2,50.788775, 8.816612,,,,
4,1240a16b-ef7f-4bdc-9c55-2159d36415a8,Person4,vegan,23,male,maybe,1,50.742371, 8.703203,,,,
5,610729f3-bb51-4276-9c2f-66b522e2ac9a,Person5,meat,25,female,maybe,0,50.820299, 8.777157,,,,
6,86e3cf1a-b2a0-4754-ac75-501ac7fc6a37,Person6,veggie,24,female,yes,4,50.823678, 8.777348,,,,
7,de2ab946-3ca8-4f9b-88f2-d4a405f0ee9d,Person7,meat,19,female,maybe,0,50.832027, 8.719021,,,,
8,73aaab3c-50b4-452f-b0a6-c669b87afb1d,Person8,none,22,male,maybe,1,50.790433, 8.775960,,,,
9,c6e1604f-d9b8-41d8-aa25-92ac9b3ada89,Person9,meat,31,female,yes,2,50.791326, 8.773338,,,,
10,4de492c0-18a6-4781-b891-09350562f661,Person10,meat,28,male,yes,0,50.791028, 8.769325,,,,
